,0
0,0.0011137751478448032
1,0.001230911902673481
2,0.0030275547453758153
3,0.003697863716482932
4,0.0055165644207607716
5,0.006096746565515638
6,0.007446583070924338
7,0.02024191144580439
8,0.02732372244729256
9,0.04076220397836621
10,0.0450492023935578
11,0.07427357821433388
12,0.1224564282529819
13,0.18268352405273466
14,0.5488116360940265
15,0.6065306597126334
16,0.6703200460356393
17,1.0
18,1.1051709180756477
19,2.718281828459045
20,9.025013499434122
21,14.879731724872837
22,22.197951281441636
23,60.34028759736195
24,66.68633104092515
25,81.45086866496814
26,90.01713130052181
27,200.33680997479166
28,221.40641620418717
29,244.69193226422038
30,270.42640742615254
31,298.8674009670603
32,544.571910125929
